,Construction year,Building condition,Number of frontages,Surroundings type,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bathrooms,Shower rooms,Toilets,Basement,Furnished,Terrace,Elevator,Accessible for disabled people,Swimming pool,Energy class,Heating type,Double glazing,Price,Address,Covered parking spaces,Flood zone type,Neighbourhood or locality,Outdoor parking spaces,Garden surface,Terrace surface,Garden,Monthly charges
7626,2013.0,As new,4.0,,270  m² square meters,63  m² square meters,USA hyper equipped,18  m² square meters,3.0,3.0,1.0,4.0,Yes,No,,No,No,Yes,C,Gas,Yes,"€ 1,790,000  1790000 €",Chaussée de Waterloo 1382 1180  - Uccle,1.0,Non flood zone,,2.0,690  m²  square meters,100  m²  square meters,,
7627,,Good,,,45  m² square meters,,Hyper equipped,,1.0,,,1.0,,No,,Yes,,No,C,Gas,Yes,"€ 165,000  165000 €",Grote Markt 1 8370  - Blankenberge,,Non flood zone,,,,,,
7628,1989.0,Good,,,200  m² square meters,87  m² square meters,Installed,5  m² square meters,2.0,1.0,1.0,2.0,,,,Yes,,,B,Gas,Yes,"Make an offer starting from  € 375,000  Make an offer starting from  375000 €",VENELLE DE LA RESERVE 2B 1300  - Wavre,1.0,,,1.0,,,,
7629,1977.0,,4.0,,170  m² square meters,,Not installed,,3.0,1.0,,1.0,Yes,,Yes,Yes,,,E,Gas,Yes,"Make an offer starting from  € 345,000  Make an offer starting from  345000 €",Avenuedes Ardennes 7d 4500  - Huy,1.0,,,,,,,
7630,1948.0,Good,2.0,,127  m² square meters,33  m² square meters,Hyper equipped,,3.0,1.0,1.0,1.0,Yes,,,Yes,,,D,Gas,Yes,"€ 460,000  460000 €",Avenue Louise 200 1050  - Bruxelles,1.0,,,,,5  m²  square meters,,
7631,1957.0,As new,2.0,Urban,95  m² square meters,26  m² square meters,Hyper equipped,11  m² square meters,2.0,1.0,1.0,1.0,Yes,No,,Yes,No,No,E,Gas,Yes,"€ 350,000  350000 €",Chaussée de Gand 331 1081  - Koekelberg,,Non flood zone,Bruxelles (19 communes),1.0,,,,
7632,1948.0,Good,2.0,,127  m² square meters,33  m² square meters,Hyper equipped,,3.0,1.0,1.0,1.0,Yes,,,Yes,,,D,Gas,Yes,"€ 460,000  460000 €",Avenue Louise 200 1050  - Bruxelles,1.0,,,,,5  m²  square meters,,
7633,2017.0,Good,2.0,,101  m² square meters,38  m² square meters,Installed,,2.0,1.0,,1.0,Yes,,,Yes,Yes,,A,,Yes,"€ 400,000  400000 €","Rue Pépin, n° 56 bte 1 5000  - Namur",,,,1.0,,21  m²  square meters,,
7634,,As new,2.0,,167  m² square meters,,Installed,22  m² square meters,4.0,1.0,,2.0,,,,,,,Not specified,Gas,Yes,"€ 278,250  278250 €","Roterijstraat, 202 8793  - Waregem",,,,1.0,,,,
7635,,As new,,,120  m² square meters,18  m² square meters,Installed,16  m² square meters,3.0,1.0,,,,No,,No,No,No,C,Gas,Yes,"€ 349,000  349000 €",Hendrik I-lei 191/01 1800  - Vilvoorde,,Non flood zone,,,,,Yes,
7636,,As new,3.0,,173  m² square meters,,Installed,22  m² square meters,4.0,1.0,,2.0,,,,,,,Not specified,Gas,Yes,"€ 357,000  357000 €","Roterijstraat, 202 8793  - Waregem",,,,1.0,,,,
7637,2011.0,,,,190  m² square meters,46  m² square meters,Installed,,3.0,1.0,1.0,3.0,,,Yes,,,,A+,Gas,Yes,"€ 595,000  595000 €",Chaussée de Huy 231 1325  - Chaumont-Gistoux,,,,2.0,,,Yes,€ 45  45 €
7638,,To renovate,,,135  m² square meters,,Not installed,,3.0,1.0,,1.0,,,,,,,F,Gas,Yes,"€ 175,000  175000 €",Amsterdamstraat 25 2000  - Antwerpen,,Non flood zone,,,8  m²  square meters,,,
7639,2023.0,,2.0,,118  m² square meters,42  m² square meters,USA hyper equipped,,3.0,1.0,1.0,2.0,Yes,,,,,,B,Gas,Yes,"€ 378,000  378000 €",Avenue Louise 200 1050  - Ixelles,1.0,,,,,10  m²  square meters,,
7640,1900.0,Just renovated,2.0,,210  m² square meters,86  m² square meters,USA hyper equipped,23  m² square meters,3.0,2.0,,2.0,Yes,,,Yes,,,D,Gas,Yes,"€ 895,000  895000 €",Rue Hector Denis 47A 1050  - Ixelles,1.0,Non flood zone,,,,150  m²  square meters,,€ 199  199 €
7641,1953.0,Good,2.0,,160  m² square meters,40  m² square meters,Installed,12  m² square meters,3.0,2.0,1.0,2.0,Yes,No,,Yes,Yes,No,D,Gas,Yes,"€ 420,000  420000 €",Chaussée de Marche 474 5101  - Erpent,1.0,Non flood zone,,2.0,,,,€ 482  482 €
7642,1900.0,Just renovated,2.0,,210  m² square meters,86  m² square meters,USA hyper equipped,23  m² square meters,3.0,2.0,,2.0,Yes,,,Yes,,,D,Gas,Yes,"€ 895,000  895000 €",Rue Hector Denis 47A 1050  - Ixelles,1.0,Non flood zone,,,,150  m²  square meters,,€ 199  199 €
7643,1900.0,Just renovated,2.0,,210  m² square meters,86  m² square meters,USA hyper equipped,23  m² square meters,3.0,2.0,,2.0,Yes,,,Yes,,,D,Gas,Yes,"€ 895,000  895000 €",Rue Hector Denis 47A 1050  - Ixelles,1.0,Non flood zone,,,,150  m²  square meters,,€ 199  199 €
