,url,Available as of,Available date,Construction year,Floor,Number of floors,Building condition,Street frontage width,Number of frontages,Surroundings type,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bathrooms,Shower rooms,Toilets,Basement,Furnished,Armored door,Terrace,Elevator,Accessible for disabled people,Swimming pool,Primary energy consumption,Energy class,Unnamed: 31,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Double glazing,Price,Tenement building,Address,Website,External reference,Covered parking spaces,As built plan,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Neighbourhood or locality,Outdoor parking spaces,Virtual visit,Office surface,Office,Intercom,Total ground floor buildable,Cadastral income,Garden surface,Visio phone,Terrace surface,TV cable,Thermic solar panels,Garden,Garden orientation,Photovoltaic solar panels,Property name,Conformity certification for fuel tanks,Monthly charges,Dining room,Basement surface,Attic surface,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water & electricity",Secure access / alarm,Living room,Caretaker,Obligation to build,Bedroom 5 surface,Professional space surface,Attic,Agent's name,Dressing room,How many fireplaces?,Laundry room,Terrace orientation,Common water heater,E-level (overall energy performance),Isolated,Professional space,Land is facing street,Wooded land,Plot at rear,Flat land,Air conditioning,Jacuzzi,Sauna,Internet,Heat pump,Type of building,Number of annexes,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity,EPC description,Extra information,Value of the property,Sea view,Current monthly revenue,Age of annuitants,Venue of the sale,Single session,Terms of visit,Starting price,Percentage rented
342,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/mons/7000/8942354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,"Rue du Berlaimont, 1 6220  - Fleurus",http://www.matexi.be,P0291_H,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,,,,,,,,
343,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/maaseik/3680/8187081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Broekermolenplein 2 3500  - Hasselt,http://www.matexi.be,P0229_H,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,,,,,,,,
344,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/moustier/7911/10476491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Rue Haute 3 7911  - Frasnes-lez-Buissenal,http://www.immobiliere-dumoulin.be,1404 -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/roeselare/8800/9217158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Spinnerijstraat 101 bus 21 8500  - Kortrijk,http://www.matexi.be,P0597_H,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,,,,,,,,
346,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/ans/4430/9821233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Rue Visé Voie 81 B1 4000  - Liège,,P0150_H,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,,,,,,,,
347,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/rocourt/4000/7755379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Rue Visé Voie 81 B1 4000  - Liège,,P0190_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,,,,,,,,
348,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/retinne/4621/9579254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Rue Visé Voie 81 B1 4000  - Liège,,P0188_H,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,,,,,,,,
349,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/dilsen/3650/7684184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Broekermolenplein 2 3500  - Hasselt,http://www.matexi.be,P0585_H,,,Yes,Yes,No,No,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,,,,,,,,
350,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/vilvoorde/1800/10359260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Brusselsesteenweg 146 1850  - Grimbergen,,P0471_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,,,,,,,,
351,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/genappe/1470/8028320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Rue de Champles 50 1301  - Bierges,,P0117_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,,,,,,,,
352,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/lichtervelde/8810/7734463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Spinnerijstraat 101 bus 21 8500  - Kortrijk,http://www.matexi.be,P0531_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,,,,,,,,
353,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/harelbeke/8530/10342470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,"Yv. Serruysstraat, 22 8930  - Menen",,12416 -,,,Yes,Yes,No,No,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/lokeren/9160/9762715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,"Eedstraat, 47 9810  - Eke-Nazareth",http://www.matexi.be,P0351_H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,,,,,,,,
