,Building condition,Number of frontages,Surroundings type,Living area,Living room surface,Kitchen type,Bedrooms,Bathrooms,Shower rooms,Toilets,Basement,Furnished,Terrace,Elevator,Swimming pool,Energy class,Heating type,Price,Address,Flood zone type,Garden surface,Terrace surface,Garden
4095,To be done up,2.0,Urban,256  m² square meters,21  m² square meters,USA semi equipped,2.0,1.0,,1.0,Yes,No,,,,D,Gas,"€ 595,000  595000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,12  m²  square meters,
4096,As new,2.0,Urban,100  m² square meters,28  m² square meters,Hyper equipped,2.0,1.0,,2.0,Yes,No,,No,No,B,Gas,"€ 235,000  235000 €",Rue Louis van Beethoven 25 1070  - Anderlecht,Non flood zone,,,
4097,Just renovated,4.0,Countryside,180  m² square meters,54  m² square meters,USA hyper equipped,4.0,1.0,1.0,2.0,Yes,No,Yes,No,No,D,Fuel oil,"€ 395,000  395000 €",route de neufchateau 18 C9 6800  - Libramont,Non flood zone,820  m²  square meters,,
4099,As new,3.0,,112  m² square meters,,Installed,3.0,2.0,,2.0,,Yes,,Yes,No,Not specified,Gas,"€ 449,000  449000 €",,,,,
4100,Good,2.0,Isolated,61  m² square meters,24  m² square meters,Semi equipped,1.0,1.0,1.0,1.0,Yes,No,,Yes,No,D,,"€ 179,000  179000 €","Avenue des Cerisiers, 95 1200  - Woluwe-St-Lambert",,,,
4101,As new,4.0,,110  m² square meters,40  m² square meters,Installed,2.0,1.0,,2.0,Yes,,,Yes,,C,Fuel oil,"Make an offer starting from  € 289,500  Make an offer starting from  289500 €",Avenuedes Ardennes 7d 4500  - Huy,Non flood zone,,70  m²  square meters,
4103,To renovate,4.0,"Living area (residential, urban or rural)",180  m² square meters,23  m² square meters,,2.0,1.0,,,,No,,,,G,Gas,"€ 465,000  465000 €",Chaussée de Tervuren 186 1410  - Waterloo,Non flood zone,400  m²  square meters,25  m²  square meters,
4104,Good,2.0,,115  m² square meters,39  m² square meters,Installed,2.0,1.0,,1.0,Yes,,,Yes,,B,Gas,"€ 368,000  368000 €",Oude Schrieksebaan 20 2820  - Bonheiden,Non flood zone,,5  m²  square meters,
4107,As new,4.0,Countryside,306  m² square meters,,Installed,4.0,1.0,,2.0,,No,,No,Yes,B,,"€ 619,000  619000 €",Hoek 29 2310  - Rijkevorsel,Non flood zone,,,Yes
4112,Good,4.0,,182  m² square meters,,Semi equipped,3.0,1.0,,2.0,,,Yes,,,C,Gas,"€ 465,000  465000 €",Valkebeekstraat 24 1861  - Wolvertem,Non flood zone,,,
4113,As new,2.0,Urban,103  m² square meters,,,2.0,1.0,,1.0,,,,No,,B,Gas,"€ 465,000  465000 €",Tiensesteenweg 93 3010  - Kessel-Lo,Non flood zone,,14  m²  square meters,
4114,Good,4.0,"Living area (residential, urban or rural)",172  m² square meters,26  m² square meters,Hyper equipped,3.0,1.0,,2.0,Yes,No,,No,No,C,Gas,"€ 319,000  319000 €",Stationstraat 30 9600  - Ronse,Non flood zone,500  m²  square meters,20  m²  square meters,
4115,To renovate,3.0,Urban,170  m² square meters,17  m² square meters,Not installed,5.0,1.0,1.0,1.0,Yes,No,,No,No,G,Fuel oil,"€ 159,000  159000 €",Grand rue 191 4870  - Trooz,,200  m²  square meters,,
4117,Good,2.0,Urban,195  m² square meters,22  m² square meters,Installed,3.0,1.0,,,Yes,,Yes,No,No,F,Fuel oil,"€ 298,000  298000 €",Hoogstraat 20 9340  - Lede,,,,
4118,To be done up,3.0,,160  m² square meters,,Semi equipped,3.0,1.0,,2.0,Yes,,,,,Not specified,Gas,"€ 349,000  349000 €",Alsembergsesteenweg 660 1653  - Dworp,Non flood zone,,,
4120,Just renovated,,,100  m² square meters,24  m² square meters,USA hyper equipped,2.0,2.0,,2.0,,No,,,,C,Gas,"€ 445,000  445000 €",Rue Abbé Cuypers 3 1040  - Etterbeek,,,,
4122,Good,4.0,,250  m² square meters,,Installed,4.0,1.0,,2.0,,,Yes,,,C,Fuel oil,"€ 585,000  585000 €","Roterijstraat, 202 8793  - Waregem",,,,
4125,Good,2.0,,87  m² square meters,35  m² square meters,Hyper equipped,3.0,2.0,,2.0,Yes,,Yes,Yes,No,B,Electric,"€ 830,000  830000 €",Koningslaan 238 8300  - Knokke,Non flood zone,,,
4127,To renovate,,,177  m² square meters,50  m² square meters,Semi equipped,3.0,2.0,,2.0,Yes,,,,,E,Fuel oil,"€ 175,000  175000 €",Rue Charles Magnette 24/40 4000  - Liège,,100  m²  square meters,150  m²  square meters,
4129,To renovate,,,177  m² square meters,50  m² square meters,Semi equipped,3.0,2.0,,2.0,Yes,,,,,E,Fuel oil,"€ 175,000  175000 €",Rue Charles Magnette 24/40 4000  - Liège,,100  m²  square meters,150  m²  square meters,
4130,To be done up,,Urban,185  m² square meters,26  m² square meters,Semi equipped,3.0,2.0,,3.0,Yes,,,,,C,Gas,"Make an offer starting from  € 195,000  Make an offer starting from  195000 €",Avenuedes Ardennes 7d 4500  - Huy,,,32  m²  square meters,
4131,Just renovated,,,211  m² square meters,,Hyper equipped,4.0,1.0,,2.0,Yes,,,No,No,A,Gas,"€ 475,000  475000 €",,Non flood zone,215  m²  square meters,40  m²  square meters,
4134,Good,2.0,Urban,50  m² square meters,20  m² square meters,Semi equipped,1.0,1.0,,1.0,Yes,,,Yes,,B,Electric,"€ 239,000  239000 €",Albert I Laan 229 8620  - Nieuwpoort,Non flood zone,,12  m²  square meters,
4178,Good,3.0,,130  m² square meters,32  m² square meters,Installed,2.0,1.0,,2.0,Yes,,Yes,,,D,Gas,"Make an offer starting from  € 245,000  Make an offer starting from  245000 €","Chaussée de Mons, 303 1480  - Tubize",Non flood zone,,,Yes
4179,Good,3.0,,150  m² square meters,36  m² square meters,Installed,4.0,1.0,,2.0,Yes,,Yes,,,E,Fuel oil,"Make an offer starting from  € 280,000  Make an offer starting from  280000 €",Avenuedes Ardennes 7d 4500  - Huy,,,,Yes
4180,To be done up,2.0,,160  m² square meters,41  m² square meters,Installed,3.0,2.0,,3.0,,,Yes,,,D,Gas,"€ 367,000  367000 €",Dr. Persoonslaan 15 b 2830  - Willebroek,Non flood zone,,,Yes
4181,As new,3.0,,490  m² square meters,,Hyper equipped,5.0,1.0,3.0,5.0,,,,,,B,Gas,"€ 990,000  990000 €",chaussée de Wavre n°373 1390  - Grez-Doiceau,,800  m²  square meters,70  m²  square meters,
4182,As new,4.0,"Living area (residential, urban or rural)",210  m² square meters,,Hyper equipped,3.0,1.0,,2.0,,,,No,No,A,Gas,"€ 635,000  635000 €",,Non flood zone,450  m²  square meters,45  m²  square meters,
4183,As new,3.0,,490  m² square meters,,Hyper equipped,7.0,1.0,3.0,5.0,,,,,,B,Gas,"€ 990,000  990000 €",chaussée de Wavre n°373 1390  - Grez-Doiceau,,800  m²  square meters,70  m²  square meters,
4184,To renovate,3.0,Urban,195  m² square meters,10  m² square meters,USA installed,4.0,2.0,1.0,2.0,Yes,No,,,,F,,"€ 290,000  290000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,380  m²  square meters,68  m²  square meters,
4185,As new,,Urban,82  m² square meters,14  m² square meters,Hyper equipped,2.0,1.0,,1.0,,No,,Yes,No,Not specified,Gas,"€ 415,000  415000 €",Brusselsesteenweg 690 9050  - Gentbrugge,,,29  m²  square meters,Yes
4186,As new,4.0,Isolated,430  m² square meters,29  m² square meters,USA hyper equipped,5.0,3.0,1.0,3.0,,,Yes,No,Yes,B,,"€ 1,350,000  1350000 €",Hoogstraat 5 2800  - Mechelen,Non flood zone,3357  m²  square meters,,
4187,To renovate,,,65  m² square meters,26  m² square meters,Semi equipped,2.0,1.0,,1.0,,,Yes,,,C,Gas,"Make an offer starting from  € 135,000  Make an offer starting from  135000 €",Rue Brun 11 5300  - Andenne,,,,
4188,To be done up,3.0,,90  m² square meters,28  m² square meters,Semi equipped,2.0,1.0,,1.0,Yes,,,,,B,Fuel oil,"€ 148,000  148000 €",Rue Arnold Delsupexhe 103 4040  - Herstal,,1443  m²  square meters,3  m²  square meters,
4189,As new,,Urban,148  m² square meters,41  m² square meters,USA hyper equipped,3.0,1.0,1.0,1.0,,No,,,,A,,"€ 467,141  467141 €",Kardinaal Mercierlaan 81 3001  - Leuven,Non flood zone,,19  m²  square meters,
4190,As new,2.0,Isolated,90  m² square meters,30  m² square meters,USA installed,3.0,1.0,1.0,1.0,Yes,No,,Yes,No,F,Gas,"€ 297,000  297000 €",Avenue Clémentine 31/4 1060  - Saint-Gilles,,,20  m²  square meters,
4191,As new,3.0,Urban,37  m² square meters,22  m² square meters,Hyper equipped,1.0,1.0,,1.0,Yes,,,Yes,,B,Gas,"€ 265,000  265000 €",Sluizeken 16 9000  - Gent,,,,
4192,Just renovated,2.0,"Living area (residential, urban or rural)",131  m² square meters,,Hyper equipped,3.0,1.0,,2.0,,,,,,C,Gas,"€ 599,000  599000 €",Rue de Spa 46 1000  - Bruxelles,,,10  m²  square meters,
4193,Good,2.0,Urban,168  m² square meters,46  m² square meters,Hyper equipped,3.0,3.0,3.0,2.0,Yes,No,,Yes,No,C,Gas,"€ 650,000  650000 €",Avenue Baron Albert d'Huart 130 1950  - Kraainem,Non flood zone,64  m²  square meters,166  m²  square meters,
4194,Good,3.0,Isolated,165  m² square meters,63  m² square meters,Hyper equipped,3.0,2.0,1.0,2.0,Yes,No,,Yes,No,F,Electric,"€ 745,000  745000 €",Avenue Baron Albert d'Huart 130 1950  - Kraainem,Non flood zone,,20  m²  square meters,
4195,Good,,,70  m² square meters,,Installed,2.0,1.0,,1.0,Yes,Yes,Yes,Yes,,F,Electric,"€ 239,000  239000 €",Zeedijk 127-128 8430  - Middelkerke,,,,
4196,Good,2.0,"Living area (residential, urban or rural)",233  m² square meters,32  m² square meters,Hyper equipped,3.0,1.0,1.0,2.0,,,,No,No,C,Gas,"€ 449,000  449000 €",Rue Eugène Toussaint 65 1090  - Jette,,160  m²  square meters,28  m²  square meters,
4197,As new,3.0,"Living area (residential, urban or rural)",165  m² square meters,,USA hyper equipped,4.0,1.0,1.0,2.0,,No,,No,No,A,Gas,"€ 460,000  460000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,110  m²  square meters,25  m²  square meters,
4198,As new,4.0,Urban,688  m² square meters,,USA hyper equipped,,9.0,1.0,1.0,,No,Yes,Yes,No,A,Gas,"€ 2,195,000  2195000 €",Kardinaal Mercierlaan 81 3001  - Leuven,Non flood zone,,,
4199,As new,2.0,,159  m² square meters,22  m² square meters,Installed,4.0,1.0,1.0,2.0,Yes,,,,,D,Gas,"€ 349,000  349000 €",Prins Boudewijnlaan 122 2610  - Wilrijk,Non flood zone,35  m²  square meters,,
4200,Good,4.0,,208  m² square meters,36  m² square meters,Semi equipped,3.0,1.0,,1.0,,,,,,E,Fuel oil,"€ 349,000  349000 €",Kolmen 28 3980  - Tessenderlo,Non flood zone,,,
4201,Good,4.0,,350  m² square meters,48  m² square meters,Installed,5.0,3.0,,3.0,,,,,,C,Gas,"€ 599,000  599000 €",Van Frachenlaan 10 1820  - Steenokkerzeel,Non flood zone,840  m²  square meters,,
4202,Good,4.0,,188  m² square meters,,Installed,4.0,1.0,,1.0,,,,,,B,Fuel oil,"€ 349,000  349000 €",Kolmen 28 3980  - Tessenderlo,,,,Yes
4203,Good,4.0,,424  m² square meters,39  m² square meters,Installed,5.0,1.0,1.0,3.0,Yes,,,,,C,Gas,"€ 620,000  620000 €",Oude Schrieksebaan 20 2820  - Bonheiden,Non flood zone,2577  m²  square meters,37  m²  square meters,
4204,To be done up,4.0,,52  m² square meters,,,1.0,1.0,,,,No,,Yes,No,D,Gas,"€ 145,000  145000 €",Rue Archimède 17 1000  - Bruxelles ville,Non flood zone,,,
4205,Just renovated,3.0,,250  m² square meters,,,,,,,,No,,,,C,Fuel oil,"€ 475,000  475000 €","Rue des Capucins, 16 6700  - Arlon",,,,
4206,Good,4.0,Urban,148  m² square meters,27  m² square meters,Installed,3.0,1.0,1.0,2.0,,No,,No,No,Not specified,Electric,"Make an offer starting from  € 398,000  Make an offer starting from  398000 €",Place Emile Delalieux 1 1400  - Nivelles,Non flood zone,700  m²  square meters,30  m²  square meters,
4208,To be done up,4.0,,75  m² square meters,,,1.0,1.0,,,Yes,No,,Yes,No,C,Gas,"€ 195,000  195000 €",Rue Archimède 17 1000  - Bruxelles ville,Non flood zone,,13  m²  square meters,
4238,As new,2.0,,315  m² square meters,,Hyper equipped,1.0,1.0,,2.0,Yes,Yes,,Yes,,B,,"€ 1,095,000  1095000 €",Bredabaan 260 2930  - Brasschaat,Non flood zone,,40  m²  square meters,
4239,Good,2.0,,137  m² square meters,,Installed,2.0,1.0,,1.0,Yes,,Yes,No,No,D,Gas,"Make an offer starting from  € 125,000  Make an offer starting from  125000 €",Chaussée Paul Houtart 232 7110  - Houdeng-Goegnies,,,,
4240,Just renovated,3.0,Isolated,90  m² square meters,31  m² square meters,Installed,2.0,1.0,1.0,1.0,,No,,No,No,G,Electric,"Make an offer starting from  € 109,000  Make an offer starting from  109000 €",Place Communale 18 6230  - Pont-à-Celles,,600  m²  square meters,20  m²  square meters,
4241,To be done up,3.0,,155  m² square meters,36  m² square meters,Semi equipped,3.0,1.0,,1.0,,,,,,F,Fuel oil,"€ 320,000  320000 €",Verbindingsweg 41 1880  - Kapelle-op-den-Bos,Non flood zone,,,Yes
4242,Just renovated,2.0,,205  m² square meters,41  m² square meters,Semi equipped,3.0,1.0,,2.0,Yes,,Yes,,,B,Gas,"€ 449,000  449000 €",Alsembergsesteenweg 660 1653  - Dworp,,,,
4243,Good,3.0,"Living area (residential, urban or rural)",305  m² square meters,,Hyper equipped,5.0,2.0,1.0,2.0,Yes,No,,No,No,D,Gas,"€ 495,000  495000 €",Stationstraat 30 9600  - Ronse,Non flood zone,445  m²  square meters,30  m²  square meters,
4244,Good,4.0,"Living area (residential, urban or rural)",410  m² square meters,,Semi equipped,4.0,2.0,,3.0,Yes,,Yes,,,C,Gas,"€ 598,000  598000 €",Mechelbaan 509 2580  - Putte,Non flood zone,,,Yes
4245,Good,2.0,"Living area (residential, urban or rural)",200  m² square meters,13  m² square meters,,,1.0,1.0,3.0,,,,No,No,Not specified,Gas,"€ 695,000  695000 €",,Non flood zone,,,
4246,To be done up,4.0,,379  m² square meters,,Installed,5.0,2.0,,2.0,,,,,,F,Fuel oil,"€ 799,000  799000 €","Kortrijksesteenweg, 390 bus 001 9000  - Gent",Non flood zone,,,
4247,Good,4.0,"Living area (residential, urban or rural)",264  m² square meters,40  m² square meters,Installed,5.0,2.0,,3.0,Yes,,,,,F,Gas,"€ 1,250,000  1250000 €",Chaussée de Louvain 521 1380  - Ohain,Non flood zone,800  m²  square meters,11  m²  square meters,
4248,As new,4.0,,269  m² square meters,,Installed,3.0,2.0,,,Yes,,Yes,,,D,Gas,"Make an offer starting from  € 1,050,000  Make an offer starting from  1050000 €",Bredabaan 260 2930  - Brasschaat,Non flood zone,,,Yes
4249,Good,2.0,"Living area (residential, urban or rural)",360  m² square meters,,Installed,5.0,3.0,,,Yes,,,,,C,Gas,"€ 1,095,000  1095000 €",Leopoldstraat 49 2000  - Antwerpen,Non flood zone,166  m²  square meters,,
4250,Good,4.0,Shop street,82  m² square meters,31  m² square meters,Installed,2.0,2.0,,1.0,,,,Yes,,D,Electric,"€ 382,000  382000 €",Albert I Laan 229 8620  - Nieuwpoort,Non flood zone,,4  m²  square meters,
4251,As new,,Urban,101  m² square meters,35  m² square meters,,2.0,1.0,,1.0,Yes,No,Yes,No,No,B,Gas,"€ 244,900  244900 €",Avenue de Bouillon 92 6800  - Libramont,Non flood zone,,,
4252,As new,2.0,Urban,82  m² square meters,40  m² square meters,USA hyper equipped,1.0,1.0,,1.0,Yes,No,,No,No,B,Gas,"€ 280,000  280000 €",Avenue Reine Astrid 215 1410  - Waterloo,Non flood zone,,10  m²  square meters,
4253,As new,4.0,Isolated,400  m² square meters,79  m² square meters,USA hyper equipped,5.0,2.0,2.0,4.0,,,,Yes,Yes,B,Gas,"€ 1,549,000  1549000 €",Place Communale 8 1160  - Auderghem,Non flood zone,1035  m²  square meters,16  m²  square meters,
4254,As new,2.0,Urban,88  m² square meters,38  m² square meters,USA hyper equipped,1.0,1.0,,1.0,Yes,No,,No,No,B,Gas,"€ 289,000  289000 €",Avenue Reine Astrid 215 1410  - Waterloo,Non flood zone,,10  m²  square meters,
4255,Good,,,70  m² square meters,18  m² square meters,Semi equipped,2.0,,,2.0,Yes,No,,Yes,No,C,Gas,"€ 189,000  189000 €",Rue du Vieux-Mayeur 51 4000  - Liège,,,,
4256,As new,,Urban,126  m² square meters,34  m² square meters,USA hyper equipped,3.0,2.0,,2.0,,No,,Yes,,B,Gas,"€ 625,000  625000 €",Rue Fort d'Andoy 5 5100  - Wierde,,,16  m²  square meters,
4257,Good,,,94  m² square meters,20  m² square meters,Installed,2.0,,,1.0,,No,,,,D,Electric,"€ 259,000  259000 €",Hoogstraat 2 bus 1 3360  - Bierbeek,,,30  m²  square meters,
4258,Just renovated,2.0,"Living area (residential, urban or rural)",86  m² square meters,28  m² square meters,Installed,1.0,,1.0,1.0,,,,Yes,No,D,Gas,"€ 220,000  220000 €",,,60  m²  square meters,13  m²  square meters,
4259,Good,2.0,Isolated,61  m² square meters,,,1.0,1.0,,1.0,,No,,,,E,Gas,"€ 225,000  225000 €",Bld. Brand Whitlock 108 1200  - Woluwe-Saint-Lambert,,,,
4260,Just renovated,2.0,,70  m² square meters,22  m² square meters,Installed,2.0,,1.0,1.0,,,,,,B,Gas,"€ 239,000  239000 €",Steenweg 171 Bis 1745  - Opwijk,Non flood zone,,13  m²  square meters,
4261,As new,4.0,Urban,161  m² square meters,70  m² square meters,,3.0,1.0,,1.0,,,,Yes,,Not specified,Gas,"€ 580,500  580500 €",Dirk Boutslaan 4 3000  - Leuven,Non flood zone,,58  m²  square meters,
4262,Good,2.0,,160  m² square meters,22  m² square meters,Semi equipped,2.0,1.0,,2.0,Yes,,,,,C,Gas,"€ 190,000  190000 €",Chaussee de Charleroi 59 B 5030  - Gembloux,,,20  m²  square meters,Yes
4263,As new,4.0,Urban,98  m² square meters,35  m² square meters,,2.0,1.0,,1.0,,,,Yes,,Not specified,Gas,"€ 372,465  372465 €",Dirk Boutslaan 4 3000  - Leuven,Non flood zone,,17  m²  square meters,
4264,As new,3.0,"Living area (residential, urban or rural)",240  m² square meters,38  m² square meters,USA hyper equipped,4.0,4.0,4.0,3.0,,No,,,Yes,C,Gas,"€ 680,000  680000 €",Parklaan 59/1 1930  - Zaventem,Non flood zone,350  m²  square meters,40  m²  square meters,
4265,To be done up,2.0,,70  m² square meters,28  m² square meters,,2.0,,1.0,1.0,Yes,,,,,B,,"€ 165,000  165000 €",Prins Boudewijnlaan 122 2610  - Wilrijk,Non flood zone,,3  m²  square meters,
4266,As new,4.0,Urban,360  m² square meters,68  m² square meters,Hyper equipped,4.0,2.0,1.0,2.0,Yes,,,,Yes,B,,"€ 1,100,000  1100000 €",Kempischveldweg 34 2970  - Schilde,Non flood zone,,44  m²  square meters,
4267,Good,2.0,"Living area (residential, urban or rural)",86  m² square meters,26  m² square meters,Not installed,3.0,1.0,,1.0,Yes,No,,Yes,,D,Gas,"€ 299,000  299000 €",Rue Basse 21-23 Bte15 b1 1180  - Uccle,,,13  m²  square meters,
4268,,,,85  m² square meters,40  m² square meters,Installed,2.0,1.0,,1.0,,,,Yes,,B,Gas,"€ 290,000  290000 €",Kasteelstraat 177 9255  - Buggenhout,Non flood zone,,18  m²  square meters,
4269,Just renovated,2.0,,72  m² square meters,,Installed,2.0,,1.0,1.0,Yes,,,,,C,Gas,"€ 295,000  295000 €",Alsembergsesteenweg 660 1653  - Dworp,,,29  m²  square meters,
4270,Good,,,150  m² square meters,40  m² square meters,Installed,2.0,1.0,,1.0,Yes,,,Yes,,C,Fuel oil,"€ 335,000  335000 €",Rue des Anges 27 4000  - Liège,,,,
4271,As new,2.0,Urban,78  m² square meters,,USA hyper equipped,2.0,1.0,,1.0,,No,Yes,Yes,No,E,Electric,"€ 340,000  340000 €",Rue Basse 21-23 Bte15 b1 1180  - Uccle,,,,
4272,Good,3.0,Countryside,115  m² square meters,35  m² square meters,Hyper equipped,2.0,2.0,1.0,2.0,Yes,,,Yes,No,E,,"€ 465,000  465000 €",1 Avenue Henri Bourgys 1410  - Waterloo,,,11  m²  square meters,
4273,,3.0,,111  m² square meters,,Installed,3.0,1.0,,1.0,Yes,,,Yes,,A,Gas,"€ 440,000  440000 €","Kortrijksesteenweg, 390 bus 001 9000  - Gent",Non flood zone,,11  m²  square meters,
4274,Good,4.0,,79  m² square meters,,Semi equipped,2.0,1.0,,1.0,,,,,,E,Gas,"€ 165,000  165000 €",Gentiel Antheunisplein 6 9700  - Oudenaarde,Non flood zone,,,
4275,Good,2.0,"Living area (residential, urban or rural)",340  m² square meters,,Installed,5.0,3.0,2.0,4.0,,No,,,,D,Gas,"€ 595,000  595000 €",Avenue de L'amarante 39 1020  - Bruxelles,,180  m²  square meters,20  m²  square meters,
4276,As new,2.0,Isolated,71  m² square meters,42  m² square meters,Hyper equipped,1.0,1.0,,1.0,Yes,No,,Yes,No,Not specified,,"€ 255,000  255000 €",Sint-Denijslaan 1 9000  - Gent,,,10  m²  square meters,
4277,To be done up,4.0,,500  m² square meters,,Semi equipped,6.0,3.0,,,Yes,,,,,D,Fuel oil,"€ 1,275,000  1275000 €",Korenmarkt 8 2800  - Mechelen,Non flood zone,,,
4278,As new,2.0,Isolated,69  m² square meters,32  m² square meters,Hyper equipped,1.0,1.0,,1.0,Yes,No,,Yes,No,Not specified,,"€ 265,000  265000 €",Sint-Denijslaan 1 9000  - Gent,,,8  m²  square meters,
4279,To be done up,2.0,,204  m² square meters,,,5.0,2.0,,,,No,,No,No,F,Gas,"€ 780,000  780000 €",Place du Châtelain 35 1050  - Ixelles,Non flood zone,,,
4280,As new,2.0,Isolated,75  m² square meters,32  m² square meters,Hyper equipped,1.0,1.0,,1.0,Yes,No,,Yes,No,Not specified,,"€ 295,000  295000 €",Sint-Denijslaan 1 9000  - Gent,,,17  m²  square meters,
4281,As new,2.0,Isolated,122  m² square meters,47  m² square meters,Hyper equipped,2.0,1.0,,2.0,Yes,No,,Yes,No,Not specified,,"€ 445,000  445000 €",Sint-Denijslaan 1 9000  - Gent,,,48  m²  square meters,
4283,Just renovated,,,31  m² square meters,,Semi equipped,,,1.0,1.0,,,,,,E,Electric,"€ 82,600  82600 €",rue du Moulin n° 21 7800  - Ath,,,,
4284,Good,2.0,,79  m² square meters,,Installed,2.0,1.0,,1.0,,,Yes,Yes,,B,Electric,"€ 225,000  225000 €",Zeedijk 127-128 8430  - Middelkerke,,,,
4285,As new,,Urban,49  m² square meters,,USA semi equipped,,1.0,1.0,1.0,Yes,Yes,,Yes,No,Not specified,Gas,"€ 262,500  262500 €",Place Communale 8 1160  - Auderghem,,,8  m²  square meters,
4286,As new,2.0,Isolated,75  m² square meters,32  m² square meters,Hyper equipped,1.0,1.0,,1.0,Yes,No,,Yes,No,Not specified,,"€ 300,000  300000 €",Sint-Denijslaan 1 9000  - Gent,,,17  m²  square meters,
4287,As new,2.0,Isolated,107  m² square meters,26  m² square meters,Hyper equipped,2.0,1.0,,2.0,Yes,No,,Yes,No,Not specified,,"€ 380,000  380000 €",Sint-Denijslaan 1 9000  - Gent,,,16  m²  square meters,
4288,As new,2.0,Isolated,75  m² square meters,32  m² square meters,Hyper equipped,1.0,1.0,,1.0,Yes,No,,Yes,No,Not specified,,"€ 300,000  300000 €",Sint-Denijslaan 1 9000  - Gent,,,17  m²  square meters,
4289,As new,2.0,Isolated,113  m² square meters,40  m² square meters,Hyper equipped,2.0,1.0,,1.0,Yes,No,,Yes,No,Not specified,,"€ 375,000  375000 €",Sint-Denijslaan 1 9000  - Gent,,,9  m²  square meters,
4290,As new,4.0,Countryside,150  m² square meters,58  m² square meters,USA semi equipped,3.0,1.0,1.0,2.0,,No,,,,D,Electric,"€ 425,000  425000 €",Chaussée de Tirlemont 15/1 4260  - Braives,,700  m²  square meters,20  m²  square meters,
4291,As new,3.0,Landscape,105  m² square meters,,USA hyper equipped,3.0,3.0,3.0,2.0,Yes,,Yes,Yes,No,B,Gas,"€ 2,995,000  2995000 €",Sparrendreef 80 8300  - Knokke,Non flood zone,,,
4293,Just renovated,2.0,,120  m² square meters,30  m² square meters,Semi equipped,3.0,1.0,,2.0,,,Yes,,,E,Gas,"Make an offer starting from  € 345,000  Make an offer starting from  345000 €",Alsembergsesteenweg 660 1653  - Dworp,Non flood zone,,,
4294,As new,2.0,Urban,171  m² square meters,22  m² square meters,Hyper equipped,3.0,2.0,,3.0,,No,,No,No,A,Gas,"€ 353,500  353500 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,15  m²  square meters,9  m²  square meters,
4295,As new,3.0,Urban,174  m² square meters,25  m² square meters,Hyper equipped,3.0,2.0,,3.0,,No,,No,No,A,Gas,"€ 358,500  358500 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,15  m²  square meters,9  m²  square meters,
4296,As new,2.0,Urban,176  m² square meters,24  m² square meters,Hyper equipped,3.0,2.0,,3.0,,No,,No,No,A,Gas,"€ 363,500  363500 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,15  m²  square meters,9  m²  square meters,
4298,As new,2.0,Urban,174  m² square meters,22  m² square meters,Hyper equipped,3.0,2.0,,2.0,,No,,No,No,A,Gas,"€ 358,500  358500 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,15  m²  square meters,9  m²  square meters,
4348,To be done up,3.0,Countryside,277  m² square meters,,Semi equipped,5.0,2.0,,2.0,,No,,,,E,Fuel oil,"€ 385,000  385000 €",Rue Bonne Fortune 9 4000  - Liège,,1400  m²  square meters,,
4359,Good,4.0,Isolated,150  m² square meters,50  m² square meters,Installed,3.0,1.0,1.0,2.0,Yes,No,Yes,No,No,F,Fuel oil,"€ 480,000  480000 €",Rue de Rixensart 77 1332  - Genval,Non flood zone,500  m²  square meters,,
4360,As new,3.0,"Living area (residential, urban or rural)",151  m² square meters,,Installed,3.0,1.0,,2.0,,,,No,No,A,Gas,"€ 589,000  589000 €",,Non flood zone,150  m²  square meters,40  m²  square meters,
4361,To be done up,4.0,"Living area (residential, urban or rural)",253  m² square meters,48  m² square meters,Semi equipped,5.0,2.0,1.0,3.0,Yes,,,,,E,Fuel oil,"€ 695,000  695000 €",Alsembergsesteenweg 660 1653  - Dworp,Non flood zone,,,
4362,Good,2.0,Urban,,,Installed,,4.0,,7.0,Yes,No,,No,No,E,Gas,"€ 2,900,000  2900000 €",Parvis Sainte-Alix 37 1150  - Woluwe-Saint-Pierre,Non flood zone,450  m²  square meters,45  m²  square meters,
4363,To be done up,2.0,,73  m² square meters,,Semi equipped,1.0,1.0,,1.0,,,Yes,,,D,Gas,"€ 165,000  165000 €",Bredabaan 260 2930  - Brasschaat,Non flood zone,,,
4364,Just renovated,2.0,,73  m² square meters,25  m² square meters,Installed,2.0,1.0,,1.0,Yes,,,,,B,Gas,"€ 229,000  229000 €",Plantin en Moretuslei 135A 2140  - Borgerhout,Non flood zone,,6  m²  square meters,
4366,As new,,Urban,97  m² square meters,,Installed,2.0,1.0,,1.0,,No,,Yes,,B,Gas,"€ 310,000  310000 €",Rue Fort d'Andoy 5 5100  - Wierde,,,56  m²  square meters,
4367,Just renovated,2.0,,73  m² square meters,25  m² square meters,Installed,2.0,1.0,,1.0,Yes,,,,,B,Gas,"€ 229,000  229000 €",Plantin en Moretuslei 135A 2140  - Borgerhout,Non flood zone,,6  m²  square meters,
