,Building condition,Number of frontages,Surroundings type,Living area,Living room surface,Kitchen type,Bedrooms,Bathrooms,Shower rooms,Toilets,Basement,Furnished,Terrace,Elevator,Swimming pool,Energy class,Heating type,Price,Address,Flood zone type,Garden surface,Terrace surface,Garden
12805,To renovate,3.0,Countryside,120  m² square meters,35  m² square meters,Semi equipped,3.0,1.0,,1.0,Yes,No,,,No,F,Gas,"€ 255,000  255000 €",Hoogstraat 20 9340  - Lede,,120  m²  square meters,14  m²  square meters,
12806,To be done up,1.0,,125  m² square meters,26  m² square meters,,4.0,1.0,,1.0,,,,No,No,D,Gas,"€ 259,000  259000 €",,Non flood zone,,,
12807,Good,3.0,"Living area (residential, urban or rural)",198  m² square meters,41  m² square meters,Semi equipped,3.0,1.0,,,Yes,,Yes,,,D,Gas,"€ 260,000  260000 €",Rue de Blaugies 31 7080  - Sars-la-Bruyère,Non flood zone,,,
12808,To be done up,2.0,,228  m² square meters,28  m² square meters,Semi equipped,3.0,2.0,,,Yes,No,,,No,F,Pellet,"Make an offer starting from  € 260,000  Make an offer starting from  260000 €",Avenue Louis Libert 1 4920  - Aywaille,,,,
12809,To be done up,2.0,,285  m² square meters,28  m² square meters,Installed,2.0,1.0,,,Yes,No,Yes,,No,E,Fuel oil,"Make an offer starting from  € 265,000  Make an offer starting from  265000 €",Avenue Louis Libert 1 4920  - Aywaille,,,,
12810,Good,3.0,Urban,257  m² square meters,,Installed,4.0,2.0,1.0,2.0,,No,,No,No,D,Gas,"€ 259,000  259000 €",Koning Albertstraat 28 9900  - Eeklo,Non flood zone,,,
12811,Just renovated,2.0,,235  m² square meters,,Installed,3.0,1.0,1.0,1.0,Yes,,Yes,,,D,Gas,"€ 265,000  265000 €","Route de charleroi, 48 7134  - Epinois",,,,
12812,Just renovated,2.0,,235  m² square meters,,Installed,3.0,1.0,1.0,1.0,Yes,,Yes,,,D,Gas,"€ 265,000  265000 €","Route de charleroi, 48 7134  - Epinois",,,,
12813,Good,4.0,,182  m² square meters,,Installed,3.0,,,1.0,Yes,No,,,,E,Fuel oil,"€ 268,000  268000 €",Statiestraat 47 2400  - Mol,Non flood zone,,,
12814,Good,3.0,Isolated,150  m² square meters,,Installed,4.0,2.0,2.0,2.0,,No,,No,No,B,Electric,"€ 310,000  310000 €",Rue de Tirlemont 23 4280  - Hannut,Non flood zone,1  m²  square meter,,
12815,Just renovated,2.0,,128  m² square meters,38  m² square meters,Installed,3.0,1.0,,2.0,Yes,,,,,B,Gas,"€ 305,000  305000 €",Abeelstraat 9A 9600  - Ronse,Non flood zone,25  m²  square meters,8  m²  square meters,
